timestamp,symbol,interval,open,high,low,close,volume
2022-03-21 00:00:00,BTCUSDT,1h,41262.11000000,41421.62000000,41173.59000000,41416.99000000,869.59222000
2022-03-21 01:00:00,BTCUSDT,1h,41416.99000000,41451.51000000,41171.99000000,41226.00000000,1218.56943000
2022-03-21 02:00:00,BTCUSDT,1h,41226.00000000,41281.30000000,40467.94000000,40805.68000000,4000.91950000
2022-03-21 03:00:00,BTCUSDT,1h,40804.84000000,40979.31000000,40693.40000000,40832.93000000,1171.91961000
2022-03-21 04:00:00,BTCUSDT,1h,40832.93000000,40920.40000000,40714.81000000,40864.28000000,1204.75254000
2022-03-21 05:00:00,BTCUSDT,1h,40864.28000000,40965.69000000,40834.07000000,40945.18000000,782.10239000
2022-03-21 06:00:00,BTCUSDT,1h,40945.19000000,41087.00000000,40764.77000000,40846.04000000,1442.64059000
2022-03-21 07:00:00,BTCUSDT,1h,40846.05000000,41136.17000000,40771.23000000,41102.01000000,1434.74161000
2022-03-21 08:00:00,BTCUSDT,1h,41102.00000000,41356.18000000,41092.79000000,41154.08000000,1459.10651000
2022-03-21 09:00:00,BTCUSDT,1h,41154.07000000,41358.03000000,41084.01000000,41330.38000000,1278.90359000
2022-03-21 10:00:00,BTCUSDT,1h,41330.38000000,41442.70000000,41264.69000000,41332.32000000,963.20396000
2022-03-21 11:00:00,BTCUSDT,1h,41332.32000000,41492.14000000,41178.25000000,41244.28000000,1349.74441000
2022-03-21 12:00:00,BTCUSDT,1h,41244.27000000,41321.68000000,40915.00000000,41222.50000000,1883.05211000
2022-03-21 13:00:00,BTCUSDT,1h,41222.50000000,41544.22000000,41092.80000000,41104.03000000,2793.72895000
2022-03-21 14:00:00,BTCUSDT,1h,41104.03000000,41196.75000000,40738.48000000,41032.99000000,3206.69009000
2022-03-21 15:00:00,BTCUSDT,1h,41033.00000000,41249.81000000,40898.77000000,41224.48000000,2440.32493000
2022-03-21 16:00:00,BTCUSDT,1h,41224.48000000,41240.31000000,40779.38000000,40788.71000000,2234.13849000
2022-03-21 17:00:00,BTCUSDT,1h,40788.72000000,41072.69000000,40759.18000000,41056.40000000,1863.69359000
2022-03-21 18:00:00,BTCUSDT,1h,41056.40000000,41160.00000000,40937.00000000,40938.71000000,1560.05661000
2022-03-21 19:00:00,BTCUSDT,1h,40938.70000000,41197.50000000,40863.54000000,41180.55000000,1518.84961000
2022-03-21 20:00:00,BTCUSDT,1h,41180.54000000,41271.40000000,41119.80000000,41120.01000000,1023.29900000
2022-03-21 21:00:00,BTCUSDT,1h,41120.00000000,41315.77000000,41060.61000000,41305.52000000,1287.97562000
2022-03-21 22:00:00,BTCUSDT,1h,41305.53000000,41370.00000000,41120.00000000,41120.01000000,1469.42557000
2022-03-21 23:00:00,BTCUSDT,1h,41120.01000000,41165.86000000,40950.00000000,41002.25000000,968.81784000
2022-03-22 00:00:00,BTCUSDT,1h,41002.26000000,41173.60000000,40875.51000000,41133.83000000,1455.27137000
2022-03-22 01:00:00,BTCUSDT,1h,41133.82000000,41189.32000000,41035.20000000,41180.69000000,810.75376000
2022-03-22 02:00:00,BTCUSDT,1h,41180.69000000,42007.48000000,41154.28000000,41841.09000000,4992.20269000
2022-03-22 03:00:00,BTCUSDT,1h,41841.09000000,42497.00000000,41841.09000000,42236.46000000,4396.75961000
2022-03-22 04:00:00,BTCUSDT,1h,42236.46000000,43361.00000000,42236.46000000,42989.52000000,7723.76114000
2022-03-22 05:00:00,BTCUSDT,1h,42989.53000000,43099.68000000,42812.22000000,42850.00000000,2280.49337000
2022-03-22 06:00:00,BTCUSDT,1h,42850.00000000,42871.66000000,41995.01000000,42247.99000000,5753.14340000
2022-03-22 07:00:00,BTCUSDT,1h,42248.00000000,42384.20000000,42176.29000000,42215.94000000,2386.76231000
2022-03-22 08:00:00,BTCUSDT,1h,42215.95000000,42700.61000000,42085.74000000,42548.00000000,2905.26926000
2022-03-22 09:00:00,BTCUSDT,1h,42548.00000000,42597.86000000,42388.00000000,42460.99000000,1952.46572000
2022-03-22 10:00:00,BTCUSDT,1h,42461.00000000,42916.55000000,42445.92000000,42829.67000000,2508.44434000
2022-03-22 11:00:00,BTCUSDT,1h,42829.68000000,43030.20000000,42761.74000000,42983.00000000,2119.11777000
2022-03-22 12:00:00,BTCUSDT,1h,42983.00000000,43085.00000000,42745.85000000,42950.41000000,2173.09012000
2022-03-22 13:00:00,BTCUSDT,1h,42950.41000000,43024.08000000,42681.29000000,42826.15000000,2072.78254000
2022-03-22 14:00:00,BTCUSDT,1h,42826.32000000,43199.00000000,42731.59000000,42760.66000000,3515.13755000
2022-03-22 15:00:00,BTCUSDT,1h,42760.66000000,42788.00000000,42561.28000000,42573.81000000,2143.17019000
2022-03-22 16:00:00,BTCUSDT,1h,42573.80000000,42700.00000000,42453.70000000,42515.00000000,1836.69432000
2022-03-22 17:00:00,BTCUSDT,1h,42515.00000000,42627.48000000,42477.73000000,42616.99000000,839.21812000
2022-03-22 18:00:00,BTCUSDT,1h,42616.98000000,42624.58000000,42484.67000000,42563.33000000,1236.17170000
2022-03-22 19:00:00,BTCUSDT,1h,42563.33000000,42711.37000000,42263.01000000,42284.41000000,1535.41912000
2022-03-22 20:00:00,BTCUSDT,1h,42284.40000000,42629.00000000,42263.01000000,42588.59000000,1367.30361000
2022-03-22 21:00:00,BTCUSDT,1h,42588.58000000,42872.17000000,42565.22000000,42833.03000000,1090.84523000
2022-03-22 22:00:00,BTCUSDT,1h,42833.04000000,42833.04000000,42470.35000000,42529.15000000,1220.56452000
2022-03-22 23:00:00,BTCUSDT,1h,42529.15000000,42533.12000000,42258.68000000,42364.13000000,1140.10118000
2022-03-23 00:00:00,BTCUSDT,1h,42364.13000000,42492.15000000,42274.93000000,42402.56000000,1186.99886000
2022-03-23 01:00:00,BTCUSDT,1h,42402.55000000,42402.56000000,41884.00000000,42322.66000000,3100.95795000
2022-03-23 02:00:00,BTCUSDT,1h,42322.66000000,42529.99000000,42246.55000000,42324.96000000,1441.45194000
2022-03-23 03:00:00,BTCUSDT,1h,42324.95000000,42364.52000000,42049.96000000,42073.94000000,1116.94757000
2022-03-23 04:00:00,BTCUSDT,1h,42073.93000000,42196.71000000,41751.47000000,41944.35000000,2068.56443000
2022-03-23 05:00:00,BTCUSDT,1h,41944.35000000,42068.15000000,41782.10000000,42021.36000000,1054.23557000
2022-03-23 06:00:00,BTCUSDT,1h,42021.35000000,42255.40000000,41954.34000000,42232.31000000,1234.32175000
2022-03-23 07:00:00,BTCUSDT,1h,42232.30000000,42259.38000000,42033.10000000,42107.74000000,1033.26168000
2022-03-23 08:00:00,BTCUSDT,1h,42107.73000000,42345.32000000,41980.87000000,42229.43000000,1657.91724000
2022-03-23 09:00:00,BTCUSDT,1h,42229.42000000,42300.00000000,41994.69000000,42166.63000000,1631.38676000
2022-03-23 10:00:00,BTCUSDT,1h,42166.63000000,42273.57000000,42099.97000000,42156.52000000,1000.22592000
2022-03-23 11:00:00,BTCUSDT,1h,42156.52000000,42186.07000000,41878.82000000,42039.78000000,1361.04251000
2022-03-23 12:00:00,BTCUSDT,1h,42039.77000000,42438.71000000,41881.00000000,42359.04000000,2383.91223000
2022-03-23 13:00:00,BTCUSDT,1h,42359.04000000,42450.00000000,41976.87000000,42020.98000000,2587.90169000
2022-03-23 14:00:00,BTCUSDT,1h,42020.99000000,42400.01000000,41969.00000000,42392.81000000,2213.92556000
2022-03-23 15:00:00,BTCUSDT,1h,42392.81000000,42737.39000000,42302.81000000,42618.18000000,3337.61776000
2022-03-23 16:00:00,BTCUSDT,1h,42618.18000000,42775.10000000,42483.36000000,42580.51000000,2057.40489000
2022-03-23 17:00:00,BTCUSDT,1h,42580.50000000,42602.22000000,42059.00000000,42160.33000000,2640.55048000
2022-03-23 18:00:00,BTCUSDT,1h,42160.33000000,42224.16000000,42050.37000000,42087.94000000,1304.72895000
2022-03-23 19:00:00,BTCUSDT,1h,42087.94000000,42353.50000000,42070.91000000,42216.79000000,1337.34631000
2022-03-23 20:00:00,BTCUSDT,1h,42216.79000000,42407.67000000,42189.73000000,42349.72000000,947.46020000
2022-03-23 21:00:00,BTCUSDT,1h,42349.72000000,42410.00000000,42250.80000000,42385.37000000,570.85223000
2022-03-23 22:00:00,BTCUSDT,1h,42385.37000000,42555.99000000,42335.12000000,42488.67000000,1096.64606000
2022-03-23 23:00:00,BTCUSDT,1h,42488.66000000,43025.96000000,42398.98000000,42882.76000000,2463.21185000
2022-03-24 00:00:00,BTCUSDT,1h,42882.76000000,43276.12000000,42757.17000000,43034.72000000,4101.15304000
2022-03-24 01:00:00,BTCUSDT,1h,43034.73000000,43103.76000000,42700.00000000,42827.45000000,2381.16593000
2022-03-24 02:00:00,BTCUSDT,1h,42827.45000000,42967.45000000,42650.00000000,42952.53000000,1209.86900000
2022-03-24 03:00:00,BTCUSDT,1h,42952.54000000,42963.86000000,42679.01000000,42712.87000000,1213.75686000
2022-03-24 04:00:00,BTCUSDT,1h,42712.87000000,42951.29000000,42712.87000000,42901.03000000,1354.74486000
2022-03-24 05:00:00,BTCUSDT,1h,42901.04000000,43045.00000000,42782.01000000,43012.49000000,1150.81303000
2022-03-24 06:00:00,BTCUSDT,1h,43012.50000000,43478.00000000,42984.86000000,43198.40000000,2693.52233000
2022-03-24 07:00:00,BTCUSDT,1h,43198.41000000,43229.27000000,42900.00000000,43077.74000000,2025.36270000
2022-03-24 08:00:00,BTCUSDT,1h,43077.75000000,43167.58000000,42975.56000000,43049.54000000,2207.47141000
2022-03-24 09:00:00,BTCUSDT,1h,43049.54000000,43220.00000000,42840.92000000,43021.01000000,3259.86514000
2022-03-24 10:00:00,BTCUSDT,1h,43021.01000000,43101.76000000,42921.00000000,43002.96000000,1401.20533000
2022-03-24 11:00:00,BTCUSDT,1h,43002.96000000,43084.38000000,42867.33000000,42968.42000000,1337.77432000
2022-03-24 12:00:00,BTCUSDT,1h,42968.42000000,43072.59000000,42741.02000000,42810.84000000,3144.58362000
2022-03-24 13:00:00,BTCUSDT,1h,42810.84000000,43064.07000000,42560.46000000,42984.86000000,2594.87462000
2022-03-24 14:00:00,BTCUSDT,1h,42984.85000000,43595.01000000,42889.08000000,43582.11000000,4504.75521000
2022-03-24 15:00:00,BTCUSDT,1h,43582.11000000,44036.93000000,43468.63000000,44000.01000000,7701.78466000
2022-03-24 16:00:00,BTCUSDT,1h,44000.00000000,44186.78000000,43842.04000000,44002.19000000,3404.38289000
2022-03-24 17:00:00,BTCUSDT,1h,44002.19000000,44220.89000000,43803.00000000,43815.11000000,3057.67678000
2022-03-24 18:00:00,BTCUSDT,1h,43815.10000000,43995.00000000,43757.10000000,43993.17000000,1902.94206000
2022-03-24 19:00:00,BTCUSDT,1h,43993.18000000,44077.55000000,43880.53000000,43908.30000000,1443.20283000
2022-03-24 20:00:00,BTCUSDT,1h,43908.31000000,43943.88000000,43818.02000000,43869.99000000,979.40183000
2022-03-24 21:00:00,BTCUSDT,1h,43869.99000000,44083.85000000,43807.27000000,44031.77000000,1128.80179000
2022-03-24 22:00:00,BTCUSDT,1h,44031.76000000,44100.00000000,43901.60000000,43949.01000000,1153.68582000
2022-03-24 23:00:00,BTCUSDT,1h,43948.74000000,44005.68000000,43870.50000000,43991.46000000,842.32768000
2022-03-25 00:00:00,BTCUSDT,1h,43991.46000000,44017.76000000,43854.38000000,43970.00000000,1322.01343000
2022-03-25 01:00:00,BTCUSDT,1h,43970.01000000,44398.53000000,43940.70000000,44130.75000000,3606.19179000
2022-03-25 02:00:00,BTCUSDT,1h,44130.76000000,44158.99000000,43877.31000000,43946.79000000,2372.58120000
2022-03-25 03:00:00,BTCUSDT,1h,43946.80000000,43995.73000000,43870.00000000,43968.16000000,1060.48339000
2022-03-25 04:00:00,BTCUSDT,1h,43968.17000000,44096.79000000,43904.94000000,44096.78000000,1019.80770000
2022-03-25 05:00:00,BTCUSDT,1h,44096.79000000,44104.92000000,43992.00000000,44074.21000000,1097.68149000
2022-03-25 06:00:00,BTCUSDT,1h,44074.22000000,44200.00000000,43963.82000000,44099.90000000,1491.84258000
2022-03-25 07:00:00,BTCUSDT,1h,44099.90000000,44187.95000000,43901.10000000,43904.97000000,2109.80422000
2022-03-25 08:00:00,BTCUSDT,1h,43904.97000000,44076.83000000,43579.00000000,44000.67000000,3474.00171000
2022-03-25 09:00:00,BTCUSDT,1h,44000.67000000,44164.78000000,43902.56000000,44120.00000000,1612.24701000
2022-03-25 10:00:00,BTCUSDT,1h,44119.99000000,44317.29000000,44065.57000000,44233.28000000,1555.10547000
